Matrícula,S1,S2,S3,S4,S5,S6,S7,S8,S9,EX
GRR20171890,NA,64,66,40,NA,40,42,44,70,0
GRR20170059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRR20141751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRR20171140,66,28,64,56,74,68,80,40,70,NA
GRR20163020,50,NA,46,68,48,56,66,36,30,0
GRR20174665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRR20175911,84,80,60,76,78,48,NA,48,40,NA
GRR20177440,68,36,88,52,58,46,54,56,70,33
GRR20175890,100,76,64,74,86,NA,48,NA,NA,NA
GRR20171169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRR20171882,84,74,70,74,30,64,34,56,50,NA
GRR20131097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRR20171869,58,48,58,48,30,62,74,56,50,25
GRR20171871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRR20177433,74,64,82,74,70,62,60,NA,60,NA
GRR20176985,68,46,52,66,46,18,42,48,60,0
GRR20171867,62,56,44,60,70,52,68,40,NA,37
GRR20176675,NA,64,NA,NA,NA,NA,NA,NA,NA,NA
GRR20165521,82,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRR20171899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRR20172927,62,54,76,48,36,46,50,56,50,25
GRR20148177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRR20165401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRR20176690,60,70,46,60,62,50,28,32,NA,0
GRR20156552,88,58,46,72,NA,NA,80,44,100,NA
GRR20132081,NA,78,90,76,70,NA,86,40,90,NA
ISO20170037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRR20166598,82,80,86,86,56,74,82,72,NA,NA
GRR20163741,50,42,60,60,68,52,42,36,80,42
GRR20171900,50,50,80,54,54,44,74,28,30,0
GRR20157651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRR20170258,60,76,70,58,50,88,62,40,100,NA
GRR20158885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRR20177015,52,66,62,64,86,52,40,48,70,20
GRR20163436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRR20176994,64,NA,NA,80,NA,44,34,64,60,0
GRR20149018,NA,58,50,60,NA,54,60,72,70,25
GRR20134206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRR20159677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRR20177487,66,54,66,58,52,74,60,80,70,NA
GRR20163732,72,60,72,56,28,46,62,44,90,NA
GRR20172904,52,56,68,52,48,NA,58,NA,40,10
GRR20176986,70,36,58,58,36,36,74,44,70,30
