Matrícula,Cap1,Cap2,Cap3,Prova1,Cap4,Cap5,Cap6,Prova2,Cap7,Cap8,Cap9,Extra,Prova3
GRR20176216,7.71,5.54,10.00,8.75,4.33,6.67,6.75,7.00,7.33,5.84,8,,1.5
GRR20152058,NA,6.25,8.33,9.40,7.50,7.00,7.25,6.00,5.26,,5,,1
GRR20174641,10.00,10.00,8.33,8.75,7.00,7.00,10.00,6.00,6.84,7.5,10,,5
GRR20174655,10.00,9.38,10.00,7.11,10.00,7.00,10.00,4.30,7.67,10,10,,7.5
GRR20166945,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
GRR20180754,8.54,6.04,6.67,3.60,6.50,4.00,2.50,NA,3.33,5.42,,,
GRR20174589,7.50,10.00,10.00,9.40,10.00,7.83,10.00,9.50,8.33,8.75,10,8.04,9
GRR20162940,NA,7.50,7.50,1.25,2.50,6.33,5.00,1.00,,,,,
GRR20136284,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
GRR20177160,10.00,6.92,5.83,8.75,5.50,7.83,6.00,7.00,6.83,5,10,,9
GRR20174621,6.25,5.00,10.00,3.75,7.50,5.17,6.25,3.00,5.99,7.5,10,5.33,1.5
GRR20175660,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
GRR20165521,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
GRR20185229,9.17,3.75,2.92,3.55,4.50,NA,NA,NA,,,,,
GRR20142479,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
GRR20176611,10.00,9.17,8.75,7.06,10.00,6.50,9.00,8.50,7,8.75,10,,6.5
GRR20175943,NA,NA,5.00,6.25,8.50,3.33,6.00,5.30,6.16,,8,6.46,
GRR20162987,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
GRR20132452,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
GRR20172136,NA,6.67,8.33,8.55,10.00,5.33,3.50,8.90,7.33,8.75,10,,5
GRR20176605,7.50,6.92,6.25,5.90,6.33,7.67,4.50,2.00,6.5,6.25,,,1
GRR20174607,10.00,7.50,9.17,7.69,9.33,7.00,9.00,4.30,4.83,10,10,6.66,6
GRR20186736,9.17,7.42,8.33,5.30,6.50,3.00,0.33,NA,5.5,5,,,
GRR20186339,8.33,7.29,6.67,7.47,7.00,7.00,0.83,5.00,2.5,,3,,
GRR20186737,9.17,6.46,9.17,5.83,9.00,0.50,3.67,2.50,5.33,5.42,8,,
GRR20180785,9.17,7.50,4.58,NA,NA,NA,NA,NA,,,,,
GRR20174633,10.00,10.00,9.17,10.00,9.00,7.33,9.00,6.00,7.17,10,8.67,5.33,7.5
GRR20174609,2.50,6.25,4.17,4.13,3.83,4.50,1.00,2.00,4.33,5,10,6.76,
GRR20162947,7.50,3.67,4.17,3.38,2.33,7.00,3.33,1.00,4.67,3.75,7,,2.5
GRR20174670,3.96,3.75,7.92,9.00,3.17,4.33,3.33,4.50,5.33,4.17,8,,1
GRR20180782,9.17,6.88,9.17,1.75,5.50,2.83,0.50,NA,,,,,
GRR20165286,8.75,8.54,3.33,6.98,NA,7.67,6.00,5.30,5.27,,,,2
GRR20174625,7.50,8.33,0.42,2.25,3.00,7.83,NA,NA,,,,,
GRR20177162,7.08,9.50,7.92,8.90,8.50,8.67,10.00,5.80,6.33,10,10,5.5,
GRR20180752,7.71,9.38,5.42,4.90,6.50,NA,NA,NA,,,,,
GRR20180747,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
GRR20176610,7.50,3.67,8.75,4.63,7.00,6.33,4.75,4.50,7.33,6.25,8.67,,5.5
GRR20180771,4.79,NA,2.92,2.08,3.50,NA,NA,NA,,,,,
GRR20174646,10.00,8.25,4.17,3.15,5.00,8.50,7.25,2.00,7.5,8.75,5,5,2.5
GRR20173272,NA,NA,NA,NA,NA,NA,NA,6.30,,,,,1
GRR20171901,8.33,6.25,5.42,9.40,9.00,3.17,9.50,8.30,7.6,5.83,0.67,,1
GRR20166599,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
GRR20180764,9.17,7.42,6.67,3.75,7.00,2.67,0.50,NA,5.6,,2.67,,
GRR20186340,8.33,10.00,6.25,5.84,5.00,6.00,5.75,2.50,2.33,2.92,,,
